type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_DRYGASCON_128	O0	8416	112	1612	273775	274019	487707	487943	487634	487944	701029	701197	700936	701251	488313	488679	702186	702617	702172	702609	915486	915919	915525	915978	488215	488925	702158	702800	702158	702718	915485	916100	915474	916086	702251	702704	916195	916577	916122	916543	1129642	1130164	1129653	1130139	702244	702859	916123	916747	916101	916722	1129697	1130272	1129703	1130249	
AEAD	LWC_ALGO_DRYGASCON_128	O1	6056	112	1612	104114	104361	184931	185185	184933	185251	265606	265916	265666	265912	185180	185571	266215	266595	266148	266656	346683	347125	346667	347056	185114	185823	266145	266859	266226	266851	346667	347314	346605	347317	266066	266461	346904	347350	346834	347351	427356	427740	427301	427794	266079	266728	346909	347545	346837	347542	427360	427936	427298	428000	
AEAD	LWC_ALGO_DRYGASCON_128	O2	6028	112	1612	101924	102169	181111	181358	181056	181297	259817	260056	259816	260060	181296	181673	260352	260794	260358	260805	339324	339774	339333	339777	181231	181930	260368	260995	260428	261065	339329	339968	339389	340024	260222	260669	339620	340066	339557	340006	418393	418768	418331	418773	260230	260867	339561	340197	339571	340189	418320	418958	418331	418971	
AEAD	LWC_ALGO_DRYGASCON_128	O3	7292	112	1612	59433	59743	105416	105657	105415	105597	150964	151145	150967	151197	105448	105970	151363	151884	151368	151876	131109	262972	131111	262906	105459	106102	151302	152021	151378	152018	196914	197570	131299	263174	151016	151540	196941	197451	196998	197524	242279	242804	242290	242805	151035	151738	197006	197652	196946	197715	242284	242998	242296	243007	
AEAD	LWC_ALGO_DRYGASCON_128	Os	5856	112	1612	126866	127115	225991	226253	225931	226185	324382	324641	324444	324632	226108	226577	325020	325481	324972	325432	423627	424097	423627	424100	226124	226833	324985	325634	324986	325635	423702	424355	423706	424357	324789	325317	423859	424365	423861	424386	522381	522817	522388	522765	324807	325442	423933	424579	423925	424586	522371	522977	522324	523037	
AEAD	LWC_ALGO_DRYGASCON_128	Ofast	7292	112	1612	59501	59745	105414	105592	105411	105599	150898	151140	150968	151150	105449	105907	151295	151818	151370	151824	196923	197432	131104	262916	105392	106166	151298	152081	151303	152083	131111	263111	196927	197640	151015	151605	196932	197463	196944	197466	242273	242798	242299	242870	151033	151805	196941	197657	197008	197657	242295	242994	242355	243065	
AEAD	LWC_ALGO_DRYGASCON_256	O0	9360	112	1612	566976	567484	866355	866772	866322	866767	1165020	1165462	1165029	1165446	866926	867579	1166078	1166709	1166065	1166696	1464913	1465611	1464910	1465581	866924	867751	1166015	1166891	1166049	1166856	1464961	1465723	1464958	1465724	1166180	1166869	1465595	1466185	1465544	1466256	1764227	1764845	1764278	1764921	1166232	1167087	1465536	1466455	1465584	1466342	1764288	1765104	1764199	1765047	
AEAD	LWC_ALGO_DRYGASCON_256	O1	6236	112	1612	204831	205351	312081	312548	312086	312540	419080	419543	419082	419539	312272	312933	419601	420257	419595	420255	526667	527322	526647	527326	312209	313125	419613	420451	419673	420496	526660	527529	526682	527519	419507	420165	526910	527555	526917	527562	633774	634420	633763	634329	419582	420358	526892	527741	526910	527756	633686	634603	633769	634554	
AEAD	LWC_ALGO_DRYGASCON_256	O2	6248	112	1612	201998	202507	307757	308204	307830	308264	413389	413827	413380	413855	307938	308580	413893	414552	413904	414558	519323	519974	519342	519993	307945	308776	413922	414752	413920	414760	519344	520111	519339	520186	413808	414450	519503	520222	519499	520213	625125	625773	625138	625785	413814	414655	519551	520414	519566	520404	625131	625965	625133	625960	
AEAD	LWC_ALGO_DRYGASCON_256	O3	8404	112	1612	113199	113717	172324	172847	172405	172841	231177	231690	231182	231639	172366	173166	231618	232344	231616	232350	290411	291136	290480	291213	172433	173354	231611	232475	231622	232489	290476	291391	290412	291336	231373	232096	290489	291224	290565	291295	349346	350081	349346	350081	231378	232293	290502	291423	290501	291484	349366	350225	349289	350278	
